roc_auc,f1,precision,recall,ap,fold,coverage,rejection_rate,condition_name,feature_type
0.6667525773195877,0.8,0.7288135593220338,0.8865979381443299,0.8447420412128857,1,1.0,0.0,current_graph_pipeline,graph_embedding
0.7876288659793815,0.8518518518518519,0.773109243697479,0.9484536082474226,0.87765501499827,2,1.0,0.0,current_graph_pipeline,graph_embedding
0.7668517049960349,0.8246445497630331,0.7631578947368421,0.8969072164948454,0.8997090527985386,3,1.0,0.0,current_graph_pipeline,graph_embedding
0.75234375,0.8571428571428571,0.7894736842105263,0.9375,0.8762313880847401,4,1.0,0.0,current_graph_pipeline,graph_embedding
0.6739583333333334,0.7961165048543689,0.7454545454545455,0.8541666666666666,0.8325116405533586,5,1.0,0.0,current_graph_pipeline,graph_embedding
0.9265463917525774,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.967341207745281,1,1.0,0.0,full_graph_pipeline,graph_embedding
0.9301546391752578,0.9154228855721394,0.8846153846153846,0.9484536082474226,0.972090424159478,2,1.0,0.0,full_graph_pipeline,graph_embedding
0.9381443298969072,0.9090909090909091,0.8910891089108911,0.9278350515463918,0.9764286888518883,3,1.0,0.0,full_graph_pipeline,graph_embedding
0.9354166666666667,0.9137055837563451,0.8910891089108911,0.9375,0.9723765422560984,4,1.0,0.0,full_graph_pipeline,graph_embedding
0.9518229166666667,0.9154228855721394,0.8761904761904762,0.9583333333333334,0.9804677736213381,5,1.0,0.0,full_graph_pipeline,graph_embedding
0.9693298969072165,0.9154228855721394,0.8846153846153846,0.9484536082474226,0.9888545078480937,1,1.0,0.0,no_similarity_edges,graph_embedding
0.981958762886598,0.9533678756476683,0.9583333333333334,0.9484536082474226,0.9928169400521372,2,1.0,0.0,no_similarity_edges,graph_embedding
0.9693365054189795,0.9435897435897436,0.9387755102040817,0.9484536082474226,0.9876028337043439,3,1.0,0.0,no_similarity_edges,graph_embedding
0.959375,0.9130434782608695,0.9545454545454546,0.875,0.9841561350656186,4,1.0,0.0,no_similarity_edges,graph_embedding
0.9760416666666667,0.9424083769633508,0.9473684210526315,0.9375,0.9908526173628995,5,1.0,0.0,no_similarity_edges,graph_embedding
0.6667525773195877,0.8,0.7288135593220338,0.8865979381443299,0.8447420412128857,1,1.0,0.0,no_behavior_patterns,graph_embedding
0.7876288659793815,0.8518518518518519,0.773109243697479,0.9484536082474226,0.87765501499827,2,1.0,0.0,no_behavior_patterns,graph_embedding
0.7668517049960349,0.8246445497630331,0.7631578947368421,0.8969072164948454,0.8997090527985386,3,1.0,0.0,no_behavior_patterns,graph_embedding
0.75234375,0.8571428571428571,0.7894736842105263,0.9375,0.8762313880847401,4,1.0,0.0,no_behavior_patterns,graph_embedding
0.6739583333333334,0.7961165048543689,0.7454545454545455,0.8541666666666666,0.8325116405533586,5,1.0,0.0,no_behavior_patterns,graph_embedding
0.9497422680412371,0.93,0.9029126213592233,0.9587628865979382,0.9801362058999357,1,1.0,0.0,no_demographic_context,graph_embedding
0.9327319587628865,0.8865979381443299,0.8865979381443299,0.8865979381443299,0.9723820257524696,2,1.0,0.0,no_demographic_context,graph_embedding
0.9614062913031985,0.9215686274509803,0.8785046728971962,0.9690721649484536,0.9846495203445927,3,1.0,0.0,no_demographic_context,graph_embedding
0.9174479166666667,0.8844221105527639,0.8543689320388349,0.9166666666666666,0.9653906899192273,4,1.0,0.0,no_demographic_context,graph_embedding
0.9653645833333334,0.9238578680203046,0.900990099009901,0.9479166666666666,0.985870016569452,5,1.0,0.0,no_demographic_context,graph_embedding
0.522680412371134,0.7757009345794392,0.7094017094017094,0.8556701030927835,0.7437555402089244,1,1.0,0.0,simplified_graph_pipeline,graph_embedding
0.45644329896907215,0.7963800904977375,0.7096774193548387,0.9072164948453608,0.6669537739276116,2,1.0,0.0,simplified_graph_pipeline,graph_embedding
0.5040972772931536,0.7714285714285715,0.7168141592920354,0.8350515463917526,0.7143092285861476,3,1.0,0.0,simplified_graph_pipeline,graph_embedding
0.53515625,0.8125,0.7109375,0.9479166666666666,0.7077462069221347,4,1.0,0.0,simplified_graph_pipeline,graph_embedding
0.42734375,0.7619047619047619,0.7017543859649122,0.8333333333333334,0.6512058090646671,5,1.0,0.0,simplified_graph_pipeline,graph_embedding
0.9280993920169178,0.9119170984455959,0.9166666666666666,0.9072164948453608,0.9684998953612836,1,0.9927007299270073,0.007299270072992692,full_graph_with_anomaly_gate,graph_embedding
0.9347079037800686,0.9246231155778895,0.9019607843137255,0.9484536082474226,0.9766196364402241,2,0.9708029197080292,0.029197080291970767,full_graph_with_anomaly_gate,graph_embedding
0.9365165491047206,0.9090909090909091,0.8910891089108911,0.9278350515463918,0.976428688851888,3,0.9926470588235294,0.007352941176470562,full_graph_with_anomaly_gate,graph_embedding
0.9349999999999999,0.9128205128205128,0.89,0.9368421052631579,0.9720057960920327,4,0.9926470588235294,0.007352941176470562,full_graph_with_anomaly_gate,graph_embedding
0.9465130023640662,0.9137055837563451,0.8737864077669902,0.9574468085106383,0.9799531313881674,5,0.9558823529411765,0.044117647058823484,full_graph_with_anomaly_gate,graph_embedding
