roc_auc,f1,precision,recall,ap,fold,model_family,feature_type
0.9956185567010309,0.9738219895287958,0.9893617021276596,0.9587628865979382,0.998244948713631,1,xgboost,raw_tabular_reference
0.9992268041237113,0.9895833333333334,1.0,0.979381443298969,0.9996907216494846,2,xgboost,raw_tabular_reference
0.9968279143536876,0.9842931937172775,1.0,0.9690721649484536,0.9987930313752965,3,xgboost,raw_tabular_reference
0.9937499999999999,0.9574468085106383,0.9782608695652174,0.9375,0.9973811799759431,4,xgboost,raw_tabular_reference
1.0,0.9948186528497409,0.9896907216494846,1.0,0.9999999999999999,5,xgboost,raw_tabular_reference
0.7190721649484536,0.7980769230769231,0.7477477477477478,0.8556701030927835,0.8519440426206162,1,xgboost,graph_embedding
0.7219072164948453,0.8155339805825242,0.7706422018348624,0.865979381443299,0.8586400291616633,2,xgboost,graph_embedding
0.7700237906423474,0.8241206030150754,0.803921568627451,0.845360824742268,0.8923459982077535,3,xgboost,graph_embedding
0.7424479166666667,0.82,0.7884615384615384,0.8541666666666666,0.8473846045066966,4,xgboost,graph_embedding
0.7419270833333333,0.8415841584158416,0.8018867924528302,0.8854166666666666,0.8797569479914235,5,xgboost,graph_embedding
0.9961340206185567,0.9740932642487047,0.9791666666666666,0.9690721649484536,0.9983935599272411,1,xgboost,raw_plus_graph
1.0,0.9789473684210527,1.0,0.9587628865979382,1.0,2,xgboost,raw_plus_graph
0.9952418715305313,0.9690721649484536,0.9690721649484536,0.9690721649484536,0.9981328116508594,3,xgboost,raw_plus_graph
0.9937499999999999,0.9513513513513514,0.9887640449438202,0.9166666666666666,0.9974476969344899,4,xgboost,raw_plus_graph
0.9963541666666667,0.9735449735449735,0.989247311827957,0.9583333333333334,0.9985042455550275,5,xgboost,raw_plus_graph
