embedding_dim,mean_abs_shap,mean_feature_value
emb_15,0.5527935,-0.05734892849990805
emb_43,0.46693859,-0.031683279759426995
emb_21,0.44569793,-0.0052018250489119545
emb_52,0.3503724,0.11650963004809554
emb_95,0.33771953,0.07194383481173056
emb_49,0.29754892,0.05879360882989719
emb_38,0.29251704,0.03525694323556737
emb_69,0.27795193,-0.005849874891903341
emb_19,0.2721654,-0.012134923220019304
emb_106,0.26847842,0.003969666566946083
emb_17,0.25902277,0.10768063465743596
emb_109,0.24982096,-0.12450431295552962
emb_85,0.22657451,0.1306796245310303
emb_24,0.21906337,-0.09859366048893847
emb_12,0.2060577,0.029820348108711783
